"Acquisition_Date","Site","Description","Passwords"
"2021-03-02T00:00:00Z","Engrenagem Virtual","In January 2020, the digital marketing firm Engrenagem Virtual was allegedly breached. The stolen data contains usernames, passwords, email addresses, salts and additional personal information. This breach is being privately shared on the internet.","20345"
"2021-02-24T00:00:00Z","U.S. Wireless Data","In February 2021, two databases containing U.S. wireless data was posted to an online hacking forum. The data was allegedly leaked between 2018 and 2019. The leaked data contains first name, last name, address, city, county, state, zip, phone, carrier, and additional personal information. This breach is being privately shared on the internet.","0"
"2021-03-04T00:00:00Z","St. Petersburgh Data Leak","At an unknown date, over 600,000 personal records from St. Petersburg residents were leaked to an online hacking forum. The stolen data contains names, dates of birth, mobile numbers, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-03-03T00:00:00Z","Mammeonline","At an unconfirmed date, the Italian motherhood website Mammeonline was allegedly breached. The stolen data contains email addresses, passwords, usernames and additional personal information. This breach is being privately shared on the internet.","94344"
"2021-03-31T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","418490"
"2021-03-05T00:00:00Z","COINSio","In March 2021, the online cryptocurrency exchange COINSio was allegedly breached. The stolen data contains email addresses, passwords, usernames and additional personal information. This breach is being privately shared on the internet.","3646"
"2018-10-01T00:00:00Z","Puca Trade","At an unknown date, the online exchange for Magic the Gathering trading cards, Puca Trade, was allegedly breached. The stolen data contains usernames, email addresses, IPs, passwords and additional personal information. This breach is being publicly shared on the internet.","104587"
"2020-01-01T00:00:00Z","Web Sanchar India","At an unconfirmed date, the Indian web hosting company Web Sanchar India was allegedly breached. The stolen data contains IPs, usernames, email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","501"
"2021-03-24T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","292804"
"2021-02-02T00:00:00Z","Vprognoze","At an unconfirmed date, the Russian sports betting website Vprognoze was allegedly breached. The stolen data contains passwords and email addresses. This breach is being privately shared on the internet.","610396"
"2021-02-24T00:00:00Z","mp3fishki.net","In June 2017, the Russian media download website mp3fishki.net was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","610535"
"2021-03-01T00:00:00Z","MST Network","In February 2021, the Russian Minecraft server MST Network was allegedly breached. The stolen data contains passwords and usernames. This breach is being privately shared on the internet.","839990"
"2021-03-09T00:00:00Z","Guns.com","In 2020, the used gun retailer Guns.com was allegedly breached. The stolen data contains email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","148092"
"2021-02-24T00:00:00Z","KomplettFritid","At an unconfirmed date, the Norwegian outerwear retailer KomplettFritid was allegedly breached. The stolen data contains IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","76422"
"2020-01-01T00:00:00Z","7k7k.com","At an unconfirmed date, the Chinese online gaming website 7k7k.com was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","9114446"
"2021-03-21T00:00:00Z","Medlife","At an unconfirmed date, the Indian online medical store Medlife was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","99972"
"2021-02-24T00:00:00Z","Bridgeman Images","In December 2020, the British content provider Bridgeman Images was allegedly breached. The stolen data contains usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","215833"
"2021-02-18T00:00:00Z","Elevrus","At an unconfirmed date, the Russian investment group Elevrus was allegedly breached. The stolen data contains passwords, email addresses, IPs, usernames and additional personal information. This breach is being privately shared on the internet.","135219"
"2021-02-24T00:00:00Z","PlaybookSports","In February 2021, the sports gaming portal PlaybookSports was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","22522"
"2021-03-09T00:00:00Z","Liker","In March 2021, the social media platform Liker was allegedly breached. The stolen data contains email addresses, usernames, passwords, IPs and additional personal information. This breach is being privately shared on the internet.","364723"
"2021-03-17T00:00:00Z","Smoke Loader","Smoke Loader is a malware bot that is capable of a variety of actions including downloading and executing additional malware on its own, receiving and relaying commands from a command and control (C2) server, stealing login information, logging keystrokes, and acting as a node in Distributed Denial of Service (DDoS) attack. The loader also has ransomware capabilities.","783791"
"2020-01-01T00:00:00Z","Infosliv","At an unconfirmed date, the Russian online forum Infosliv was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-03-17T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","338092"
"2021-02-24T00:00:00Z","Property Shop Investment","At an unconfirmed date, the Abu Dhabi-based real estate firm Property Shop Investment was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-01-29T00:00:00Z","Inlite","At an unconfirmed date, the Australian lighting solutions retailer Inlite was allegedly breached. The stolen data contains email addresses, usernames, passwords and additional personal information. This breach is being privately shared on the internet.","1207"
"2021-03-01T00:00:00Z","Ticketcounter","At an unconfirmed date, the Dutch e-Ticketing platform Ticketcounter was allegedly breached. The stolen data contains IPs, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","103178"
"2021-02-15T00:00:00Z","French Medical Data","At an unconfirmed date, over 500,000 French hospital records were leaked on an online hacking forum. The stolen data contains patient names, titles, addresses, phone numbers, patient codes, dates of hospitalization, fax numbers and additional personal information. This breach is being privately shared on the internet.","0"
"2020-01-01T00:00:00Z","Delhack","At an unconfirmed date, the hacking website Delhack was allegedly breached. The stolen data contains usernames and other information. This breach is being privately shared on the internet.","0"
"2020-02-22T00:00:00Z","Scraped Social Media Data Leak","In February 2021, a database of over 79 million scraped social media account details was leaked online. The exposed data includes job, location, country, street address, postal code, full names, industry, work email, personal email, birthdate, phone number and other personal information. The source of the data is currently unknown.","0"
"2020-01-01T00:00:00Z","Anon-Hack","At an unconfirmed date, the Russian hacking forum Anon-Hack was allegedly breached. The stolen data contains usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-02-11T00:00:00Z","Преф-Ревю","At an unconfirmed date, the Russian gambling website Преф-Ревю was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","58412"
"2020-01-01T00:00:00Z","GalaxyHack","At an unconfirmed date, the multiplayer strategy game GalaxyHack was allegedly breached. The stolen data contains email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","0"
"2020-01-01T00:00:00Z","Name-Hack","In 2014, the now-defunct Russian gaming forum Name-Hack was allegedly breached. The stolen data contains email addresses. This breach is being privately shared on the internet.","396"
"2020-01-01T00:00:00Z","MPGH","At an unconfirmed date, the online gaming forum MPGH was allegedly breached. The stolen data contains usernames, passwords, and email addresses. This breach is being privately shared on the internet.","231"
"2021-02-23T00:00:00Z","Filmai","In January 2020, the Lithuanian movie and series streaming website Filmai was allegedly breached. The stolen data contains passwords, usernames and email addresses. This breach is being privately shared on the internet.","645133"
"2020-01-01T00:00:00Z","Happy-Hack","At an unconfirmed date, the Russian-language hacking website Happy-Hack was allegedly breached. The stolen data contains passwords, IPs, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","21195"
"2021-03-03T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","257587"
"2017-05-07T00:00:00Z","Soul Split","At an unconfirmed date, the private Runescape server Soul Split was allegedly breached. The stolen data contains passwords, IPs, email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","468935"
"2021-02-11T00:00:00Z","OffshoreCrew","At an unconfirmed date, the Norwegian offshore recruitment agency OffshoreCrew was allegedly breached. The stolen data contains email addresses, passwords, and other personal information. This breach is being privately shared on the internet.","25888"
"2021-03-03T00:00:00Z","Smoke Loader","Smoke Loader is a malware bot that is capable of a variety of actions including downloading and executing additional malware on its own, receiving and relaying commands from a command and control (C2) server, stealing login information, logging keystrokes, and acting as a node in Distributed Denial of Service (DDoS) attack. The loader also has ransomware capabilities.","110169"
"2021-02-09T00:00:00Z","BestGamer","In 2021, the Russian gaming website BestGamer was allegedly breached. The stolen data contains passwords, email addresses, and salts. This breach is being privately shared on the internet.","125710"
"2021-01-31T00:00:00Z","Finja","At an unconfirmed date, the Pakistani financial services platform Finja was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-01-14T00:00:00Z","Gaz Club","At an unconfirmed date, the Russian car repair forum Gaz Club was allegedly breached. The stolen data contains usernames, email addresses, passwords, and salts. This breach is being privately shared on the internet.","112807"
"2021-02-24T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","197974"
"2021-02-15T00:00:00Z","CityBee","In February 2019, the Lithuanian car-sharing service CityBee was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","110198"
"2021-01-25T00:00:00Z","Autopartes Pro","At an unconfirmed date, the Argentine automotive service CRM solution Autopartes Pro was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1205"
"2021-01-19T00:00:00Z","SMinecraft","In 2017, the now-defunct Russian Minecraft server SMinecraft was allegedly breached. The stolen data contains passwords, IPs, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","119878"
"2021-01-05T00:00:00Z","Universitas Diponegoro","At an unconfirmed date, the Indonesian university Universitas Diponegoro was allegedly breached. The stolen data contains full names, dates of birth, addresses, phone numbers, religions, email addresses and additional personal information. This breach is being privately shared on the internet.","19725"
"2021-02-09T00:00:00Z","Condo.com","In 2019, the online real estate platform Condo.com was allegedly breached. The stolen data contains email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","0"
"2020-12-09T00:00:00Z","Protegez-Vous","In December 2020, the Canadian consumer review platform Protegez-Vous was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","396524"
"2021-01-22T00:00:00Z","Underworld Empire Forums","At an unconfirmed date, the online gaming forum Underworld Empire Forums was allegedly breached. The stolen data contains passwords, IPs, usernames, salts, and email addresses. This breach is being privately shared on the internet.","428051"
"2021-02-17T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","218857"
"2021-01-19T00:00:00Z","Qandid","At an unconfirmed date, the corporate financial services solution Qandid was allegedly breached. The stolen data contains passwords, IPs, email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","40549"
"2021-01-18T00:00:00Z","Ingame","At an unconfirmed date, the German gaming news website Ingame was allegedly breached. The stolen data contains email addresses, passwords, and usernames. This breach is being privately shared on the internet.","294834"
"2021-01-16T00:00:00Z","BDV","In January 2021, the French discount travel website BDV was allegedly breached. The stolen data contains email addresses, passwords, salts, usernames and additional personal information. This breach is being publicly shared on the internet.","285181"
"2021-01-19T00:00:00Z","Wappalyzer","In January 2020, the technology stack profiling tool Wappalyzer was allegedly breached. The stolen data contains passwords, IPs, email addresses and additional personal information. This breach is being privately shared on the internet.","18473"
"2021-01-18T00:00:00Z","AspireBuzz","At an unconfirmed date, the Indian eLearning platform AspireBuzz was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","67202"
"2021-01-20T00:00:00Z","NM Money","At an unconfirmed date, the British online currency exchange service NM Money was allegedly breached. The stolen data contains email addresses and passwords. This breach is being privately shared on the internet.","222529"
"2021-02-12T00:00:00Z","2020 Auto Insurance Leads","At an unconfirmed date, an unspecified list of auto insurance customer leads were leaked on an online hacking forum. The leaked data contains email addresses, IPs and additional personal information. This data is being privately shared on the internet.","0"
"2020-11-23T00:00:00Z","Thai Department of Child and Youth Observation and Protection","At an unconfirmed date, the Thai Department of Child and Youth Observation and Protection was allegedly breached. The stolen data contains email addresses, passwords, IPs, usernames and additional personal information. This breach is being privately shared on the internet.","171"
"2021-02-08T00:00:00Z","Spotify Users Credential Leak","In January 2021, a security researcher discovered a non-password-protected database storing over 100,000 alleged Spotify customer login credentials. It is unclear what the source of the credentials were, whether maliciously collected by malware or from an unintentionally misconfigured legitimate source.","83412"
"2021-01-21T00:00:00Z","BuscadorProp","In January 2021, the Argentine real estate website BuscadorProp was allegedly breached. The stolen data contains passwords, email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","253114"
"2020-11-24T00:00:00Z","Russian bouquet","At an unconfirmed date, the Russian flower delivery service Russian bouquet was allegedly breached. The stolen data contains email addresses, IPs, passwords, usernames and additional personal information. This breach is being privately shared on the internet.","0"
"2021-01-18T00:00:00Z","Hoezle","At an unconfirmed date, the Swiss automobile electronics supplier Hoezle was allegedly breached. The stolen data contains email addresses, passwords and additional personal information. This breach is being privately shared on the internet.","27175"
"2021-01-26T00:00:00Z","Learnable","In June 2020, the site Learnable was allegedly breached. The stolen data contains email addresses, passwords, IPs, usernames and additional personal information. This breach is being privately shared on the internet.","1018673"
"2020-12-16T00:00:00Z","VKM","At an unconfirmed date, the Russian-language music forum VKM was allegedly breached. The stolen data contains passwords, IPs, email addresses, usernames and additional personal information. This breach is being privately shared on the internet.","825654"
"2020-06-04T00:00:00Z","Hilux Surf","In May 2020, the British automobile discussion forum Hilux Surf was allegedly breached. The stolen data contains IPs, email addresses, usernames, passwords, and additional personal information. This breach is being privately shared on the internet.","0"
"2020-08-26T00:00:00Z","Socialarks","In August 2020, security researchers discovered an exposed database belonging to the Chinese marketing service platform Socialarks. The exposed data included tens of millions of Instagram, LinkedIn, and Facebook profile information, phone numbers, emails, and other personal information.","0"
"2021-01-08T00:00:00Z","Skoon","At an unconfirmed date, the cat litter company Skoon was allegedly breached. The stolen data contains and email addresses. This breach is being privately shared on the internet.","0"
"2021-02-10T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","318734"
"2021-01-08T00:00:00Z","Kolyan","At an unconfirmed date, the Russian entertainment website Kolyan was allegedly breached. The stolen data contains email addresses, passwords, IPs, usernames and additional personal information. This breach is being privately shared on the internet.","491282"
"2018-08-01T00:00:00Z","All Slots Casino","At an unconfirmed date, the online casino All Slots Casino was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2018-08-01T00:00:00Z","Grand Vegas","At an unconfirmed date, the now-defunct online casino Grand Vegas was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-01-12T00:00:00Z","Iran Memar","At an unconfirmed date, the Iranian Architecture Association, Iran Memar, was allegedly breached. The stolen data contains salts, passwords, usernames, IPs, email addresses and additional personal information. This breach is being privately shared on the internet.","139046"
"2021-01-11T00:00:00Z","Photolamus","In December 2020, the custom portrait creation service Photolamus was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","276495"
"2020-11-09T00:00:00Z","Russian Railways Bonus Program","In June 2020, the Russian Railways Bonus Program was allegedly breached. The Russian Railways Bonus Program is a Russian discount program that allows members to travel with points accumulated through doing business with partner organizations. The stolen data contains salts, passwords, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","1342804"
"2020-09-04T00:00:00Z","Y &C Wholesale","In February 2019, the UK wholesale retailer Y&C Wholesale was allegedly breached. The stolen data contains passwords, usernames, IPs, email addresses and additional personal information. This breach is being privately shared on the internet.","12"
"2021-01-11T00:00:00Z","Indian Insurance","An unknown Indian Insurance aggregator was allegedly breached and its data leaked to an online hacking forum in January 2021. The stolen data contains names, email addresses, insurance numbers, insurer details, dates of insurance and additional personal information. This breach is being privately shared on the internet.","0"
"2021-02-03T00:00:00Z","Smoke Loader","Smoke Loader is a malware bot that is capable of a variety of actions including downloading and executing additional malware on its own, receiving and relaying commands from a command and control (C2) server, stealing login information, logging keystrokes, and acting as a node in Distributed Denial of Service (DDoS) attack. The loader also has ransomware capabilities.","57514"
"2020-12-29T00:00:00Z","Pokemon Center","In December 2020, the Spanish-language Pokemon fan site Pokemon Center was allegedly breached. The stolen data contains salts, IPs, usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","70828"
"2021-01-05T00:00:00Z","Nháº¡c DJ","At an unconfirmed date, the Vietnamese music and media download site Nháº¡c DJ was allegedly breached. The stolen data contains passwords, usernames, email addresses and additional personal information. This breach is being privately shared on the internet.","172700"
"2020-12-31T00:00:00Z","Gamershood Forums","In August 2020, the gaming discussion board Gamershood Forums was allegedly breached. The stolen data contains usernames, email addresses, IPs and additional personal information. This breach is being privately shared on the internet.","85939"
"2021-01-04T00:00:00Z","Archos","At an unconfirmed date, the french technology company Archos was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-01-19T00:00:00Z","Chqbook","In September 2020, the Indian online bank Chqbook was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1330873"
"2021-01-04T00:00:00Z","Capital Economics","At an unconfirmed date, the UK consulting group Capital Economics was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","4730"
"2021-01-11T00:00:00Z","9amfree","At an unconfirmed date, e-commerce data was allegedly leaked from the eBay seller '9amfree'. The leaked data includes customer names, shipping details, phone numbers, eBay product codes and other tracking information. This leak is being privately shared on the internet.","0"
"2021-01-19T00:00:00Z","Rooter","At an unconfirmed date, the online gaming site Rooter was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1031128"
"2021-01-27T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","66147"
"2021-01-19T00:00:00Z","Everyday Minerals","In November 2020, the cosmetics company Everyday Minerals was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","225329"
"2020-12-31T00:00:00Z","WoLawang","At an unconfirmed date, the Chinese Microsoft Office template site WoLawang was allegedly breached. The stolen data contains IPs, salts, usernames, passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","1075813"
"2021-01-11T00:00:00Z","Travel Oklahoma","In December 2020, Travel Oklahoma's database was allegedly breached. The stolen data contains usernames, passwords and additional personal information. This breach is being privately shared on the internet.","29994"
"2021-01-18T00:00:00Z","Tuned Global","At an unconfirmed date, Tuned Global's database was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","815106"
"2021-01-18T00:00:00Z","Buyucoin","At an unconfirmed date, the Indian cryptocurrency site Buyucoin was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","161486"
"2021-01-18T00:00:00Z","Modus","At an unconfirmed date, the enterprise sales platform Modus was allegedly breached. The stolen data contains users' passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","126889"
"2021-01-19T00:00:00Z","Oxfam Australia","In January 2021, the non-profit aid organization Oxfam Australia was allegedly breached. The stolen data contains email addresses and additional personal information. This breach is being privately shared on the internet.","0"
"2021-01-18T00:00:00Z","RDS","At an unconfirmed date, the Italian radio staton RDS was allegedly breached. The stolen data contains email addresses, passwords, usernames and additional personal information. This breach is being privately shared on the internet.","244360"
"2021-01-11T00:00:00Z","People 's Energy Company","In December 2020, the UK energy company People's Energy Company was allegedly breached. The stolen data contains passwords, email addresses and additional personal information. This breach is being privately shared on the internet.","312"
"2021-01-19T00:00:00Z","Azorult Botnet","AzorUlt is a lesser known credential stealing botnet, also known as crimeware. This malware steals data from infected computers via web browsers and protected storage. Once infected, the computer sends the stolen data to a bot command and control (C&C) server, where the data is stored. Any credentials from this source can be assumed to already be in the hands of threat actors, and should be changed immediately.","91061"
"2020-11-11T00:00:00Z","NeedMine","At an unconfirmed date, the Russian Minecraft server NeedMine was allegedly breached. The stolen data contains usernames and passwords. This breach is being privately shared on the internet.","1123575"
