"Website","LineCount","HashType","Category"
"182.18.160.219","17.331","HASH+NOHASH","Business"
"189.210.152.188","3.096","HASH+NOHASH","Education"
"197-198.hu","16.947","HASH+NOHASH","IT"
"1Lo.Lublin.pl","1.258","NOHASH","Organizations&Government"
"1cheval.com","47.848","HASH+NOHASH","Travel"
"1not1.com","9.417","NOHASH","Business"
"1stcrew.com","1.987","NOHASH","Job Search"
"1stdakins.com","35.753","HASH+NOHASH","Business"
"1tps.ru","2.718","HASH","Business"
"2-worlds.com","438.015","HASH","Games"
"201.72.36.20","2.760","HASH+NOHASH","Medicine"
"2010.botanyconference.org","5.211","HASH+NOHASH","Education"
"2011.botanyconference.org","3.883","HASH+NOHASH","Education"
"2012.openairgampel.ch","2.323","HASH","Entertainment"
"2013ebook.gogofinder.com.tw","24.283","HASH+NOHASH","IT"
"2015.action.progressivesunited.trilogyarchive.com","1.412","HASH","NoCategory"
"2016.foodhawkers.co.uk","2.091","HASH+NOHASH","Business"
"2017.spplaza.co.kr","1.486","HASH+NOHASH","Web Hosting"
"2019.botanyconference.org","5.077","HASH+NOHASH","Education"
"2019budapestfencing.com","1.575","HASH","IT"
"2019clubesertanejo.com.br","1.805","NOHASH","NoCategory"
"2019usapreps.com","1.592","NOHASH","NoCategory"
"202.0.107.132","14.627","HASH","NoCategory"
"202.0.94.47","10.613","HASH","NoCategory"
"208.113.184.79","1.678","HASH+NOHASH","NoCategory"
"208.113.207.118","2.406","HASH+NOHASH","NoCategory"
"209.200.231.40","26.483","HASH+NOHASH","NoCategory"
"209.235.196.12","375.403","NOHASH","Shopping"
"20vek.net","907","HASH","Business"
"210.116.102.148","1.517","NOHASH","IT"
"210.166.219.27","1.667","HASH+NOHASH","NoCategory"
"212.142.226.123","7.755","HASH+NOHASH","NoCategory"
"216.198.201.9","1.296","NOHASH","NoCategory"
"216.70.83.118","3.613","HASH","Shopping"
"216.92.209.72","2.234","NOHASH","Travel"
"217.160.107.228","12.359","HASH+NOHASH","NoCategory"
"21cifm.org","8.181","HASH+NOHASH","Global Religion"
"21fengshui.com","14.981","HASH+NOHASH","Business"
"23.88.229.89","9.188","NOHASH","NoCategory"
"247friend.net","107.503","NOHASH","Boards"
"247mainstreet.com","12.441","NOHASH","Search Engines and Portals"
"24x7healthprotect.com","1.090","HASH+NOHASH","Medicine"
"254625-www1.americasgenerators.com","9.943","HASH+NOHASH","Business"
"2657.indexcopernicus.com","15.456","HASH+NOHASH","Education"
"2birds.com.fj","7.244","HASH+NOHASH","NoCategory"
"2e.co.kr","5.430","HASH+NOHASH","Meaningless Content"
"2fwww.skatevideosite.com","13.350","HASH+NOHASH","Media"
"2percentusa.com","1.450","NOHASH","Business"
"2sang.kr","3.072","HASH+NOHASH","Brokerage and Trading"
"2wild.ru","1.623","NOHASH","Business"
"3-wayporn.com","11.068","HASH+NOHASH","Adult"
"300e2.org.tw","1.084","NOHASH","NoCategory"
"306team.pl","2.171","NOHASH","Auto"
"321Gory.pl","1.044","NOHASH","Boards"
"34.252.151.76","4.446","HASH+NOHASH","NoCategory"
"35fg.net","19.698","NOHASH","NoCategory"
"365travelplan.com","1.739","HASH","Travel"
"3GiePe.pl","7.767","NOHASH","Adult"
"3bbwifi.com","1.687","HASH+NOHASH","IT"
"3dglobalbiotech.com.tw","20.490","HASH+NOHASH","Business"
"3ipet.cn","2.996","HASH","NoCategory"
"3rshop.co.kr","32.259","HASH+NOHASH","Shopping"
"3sindustries.in","1.346","HASH+NOHASH","Shopping"
"3tgomme.it","6.473","HASH+NOHASH","Business"
"4000kww.com","10.377","HASH","NoCategory"
"401ktimer.com","2.680","NOHASH","Finance"
"4091.indexcopernicus.com","13.391","HASH+NOHASH","Education"
"4170nmarine.com","88.508","NOHASH","Business"
"45.118.10.26","1.776","HASH","NoCategory"
"45.56.82.230","1.292","HASH+NOHASH","NoCategory"
"45.58.34.139","9.365","HASH+NOHASH","NoCategory"
"45minut.pl","6.291","NOHASH","Education"
"47.75.114.199","2.861","HASH","NoCategory"
"4noses.net","18.645","NOHASH","NoCategory"
"4plus-design.com","6.396","HASH+NOHASH","Shopping"
"4stour.com","11.468","HASH+NOHASH","Shopping"
"4wd-shop.ru","1.102","NOHASH","Auto"
"50.116.38.136","12.998","HASH+NOHASH","NoCategory"
"5025coop.com","1.837","NOHASH","Shopping"
"505mcclurg.com","88.507","NOHASH","Business"
"50kopeek.ru","6.720","HASH+NOHASH","Business"
"52.66.141.39","6.941","NOHASH","NoCategory"
"52shici.com","40.495","HASH+NOHASH","Entertainment"
"53hotel.com.tw","6.907","NOHASH","Travel"
"550cord.com","3.494","HASH+NOHASH","Armed Forces"
"59.23.150.58","32.087","HASH+NOHASH","NoCategory"
"5furon.com","1.280","NOHASH","NoCategory"
"5kmrun.bg","16.900","HASH+NOHASH","Sports"
"5manager.com","2.906","NOHASH","Games"
"5pointclub.com","1.857","HASH+NOHASH","NoCategory"
"5thebook.gogofinder.com.tw","26.869","HASH+NOHASH","IT"
"5wwan.com","545.010","HASH","Games"
"60.199.132.148","4.468","HASH+NOHASH","NoCategory"
"604friends.com","1.773","HASH+NOHASH","Organizations&Government"
"61.7.166.36","1.356","HASH","NoCategory"
"635dearborn.com","95.020","HASH+NOHASH","NoCategory"
"70.32.108.156","26.538","HASH+NOHASH","NoCategory"
"70jj.com","61.252","HASH+NOHASH","Shopping"
"74-rabota.ru","34.325","HASH+NOHASH","Job Search"
"7thebook.gogofinder.com.tw","23.033","HASH+NOHASH","IT"
"7thebook.gogofinder.com.twvote","32.281","HASH+NOHASH","NoCategory"
"82bt.com","6.448","HASH","Adult"
"82bts.com","6.527","HASH","IT"
"88h3.com","1.847","HASH+NOHASH","Business"
"8keyz.com","3.300","NOHASH","Auto"
"92avday.com","43.187","HASH+NOHASH","Adult"
"93app.com","28.739","NOHASH","Downloads"
"95.174.17.105","3.366","HASH+NOHASH","NoCategory"
"95.211.38.193","67.935","HASH+NOHASH","NoCategory"
"9811214693.ru","6.047","HASH+NOHASH","Business"
"99marriageguru.com","1.043","HASH+NOHASH","Business"
"9b01.net","26.216","HASH+NOHASH","NoCategory"
"9bc.com","97.314","HASH+NOHASH","IT"
"9pat.net","47.298","HASH","Business"
"Agnieszka.com.pl","5.020","NOHASH","Adult"
"Airsoft.Podlasie.pl","1.004","NOHASH","Social"
"Apisto.pl","2.683","NOHASH","Social"
"Audiocar.pl","5.357","NOHASH","Business"
"AutoHotKey.com","7.391","NOHASH","IT"
"BMW-Syndykat.pl","4.495","NOHASH","Auto"
"BMW3ER.pl","6.433","NOHASH","Boards"
"Bbtp.pl","2.127","NOHASH","Auto"
"Beauty-forum.pl","4.820","NOHASH","Social"
"Beglen.Home.pl","3.957","NOHASH","Web Hosting"
"Bet-Forum.pl","1.852","NOHASH","Gambling"
"Bitwy-Komiksowe.pl","1.146","NOHASH","NoCategory"
"BlackWarez.pl","2.838","NOHASH","Adult"
"Blaugrana.pl","1.691","NOHASH","Boards"
"Blog.TelChina.pl","3.590","NOHASH","IT"
"Brainiac.pl","5.788","NOHASH","Reference"
"Bukosfera.pl","7.130","NOHASH","Boards"
"Bus-Maniac.pl","1.008","NOHASH","Auto"
"Bystrzyca.info.pl","1.292","NOHASH","Social"
"CCIE.pl","4.539","NOHASH","IT"
"CSGameServs.com","28.259","NOHASH","Games"
"CSHelp.pl","4.432","NOHASH","NoCategory"
"Cavia.Vel.pl","1.409","NOHASH","Web Hosting"
"Cconcertsdevollore.fr","14.922","NOHASH","NoCategory"
"Celica-club.org.pl","4.645","NOHASH","Auto"
"Chairandtableco.com.au","70.514","NOHASH","Shopping"
"Cheats.com","95.104","NOHASH","Games"
"ChelseaLive.pl","1.478","NOHASH","Sports"
"Chicotes.com.br","8.805","NOHASH","NoCategory"
"Chillout.Slev.pl","1.441","NOHASH","NoCategory"
"Civic5g.pl","2.833","NOHASH","Auto"
"Club106.pl","2.158","NOHASH","Auto"
"Clubcocinafacil.com","106.485","NOHASH","Restaurant"
"Cmkon.gr","1.621","NOHASH","Shopping"
"Cmsszablony.pl","2.766","NOHASH","IT"
"Concordextra.com","15.570","NOHASH","Shopping"
"Construccionesjepan.com","6.681","NOHASH","Business"
"Cordobaklub.pl","2.338","NOHASH","Auto"
"Corsaclub.pl","4.801","NOHASH","Boards"
"Criptoname.net","98.209","NOHASH","NoCategory"
"Cssite.Wxv.pl","1.961","NOHASH","IT"
"Cswypasiony.pl","2.748","NOHASH","NoCategory"
"Cules.pl","1.717","NOHASH","Sports"
"Czestochowaforum.pl","3.072","NOHASH","Boards"
"Danielbelanger.com","2.166","NOHASH","Entertainment"
"Delacuesta.es","4.680","NOHASH","Phishing"
"Discopolowo.pl","1.218","NOHASH","Boards"
"DiscusForum.pl","2.493","NOHASH","Boards"
"Dodaforum.pl","1.460","NOHASH","Boards"
"Doormerica.com","55.524","NOHASH","Business"
"Downloadnolimit.pl","1.846","NOHASH","Adult"
"Dvdcorral.com","7.840","NOHASH","Entertainment"
"E-Cavalier.pl","1.830","NOHASH","Business"
"EAPMovies.com","42.134","NOHASH","Entertainment"
"Echucabuilders.com.au","70.296","NOHASH","Phishing"
"Ecotek-canada.us","2.211","NOHASH","Malicious Websites"
"Electricaudios.com","50.886","NOHASH","IT"
"Elendili.pl","4.358","NOHASH","Entertainment"
"Enveloppe-perso.com","19.347","NOHASH","Business"
"EpicNPC.com","37.542","NOHASH","Boards"
"Equisoftware.com.ar","1.484","NOHASH","Sports"
"Etalentum.com","40.231","NOHASH","Business"
"Euroshop.sk","8.470","NOHASH","Shopping"
"Exonumia.us","1.683","NOHASH","NoCategory"
"Farmasoft-pro.com","11.202","NOHASH","NoCategory"
"Faux-billet-avion.fr","19.377","NOHASH","Business"
"Fcaoysterbay.org","3.362","NOHASH","NoCategory"
"Filmezek.com","39.649","NOHASH","Business"
"Flashsb.com.br","1.153","NOHASH","Search Engines and Portals"
"Forumtt.pl","1.436","NOHASH","Boards"
"Fundatextil.com","1.626","NOHASH","Shopping"
"Geekslatam.com","3.337","NOHASH","Business"
"GiorGiotave.it","36.981","NOHASH","IT"
"Greekedlife.com","47.242","NOHASH","Education"
"Greenlinkestate.com.au","69.460","NOHASH","Business"
"Gumotest.pl","1.230","NOHASH","Business"
"Habjobs.com","21.192","NOHASH","Job Search"
"Harmonica-brands.com","5.158","NOHASH","Shopping"
"Herkesmutfaga.com.au","2.286","NOHASH","NoCategory"
"HostSearch.com","19.693","NOHASH","IT"
"Hostranking.pl","1.289","NOHASH","IT"
"Hoteljarama.es","1.934","NOHASH","Travel"
"Icgauth-bhapa.fr","2.254","NOHASH","Phishing"
"Icsc.org","79.956","NOHASH","Business"
"Ijerat.com","1.934","NOHASH","Business"
"Iledereloc.com","76.586","NOHASH","Travel"
"InBoot.me ","59.609","NOHASH","IT"
"Insuranceandleisure.com","25.075","NOHASH","Search Engines and Portals"
"JDM-Option.pl","4.533","NOHASH","Auto"
"Jagiellonia.pl","8.421","NOHASH","Sports"
"Jamesmaddock.net","49.813","NOHASH","Entertainment"
"JavaZone.pl","9.152","NOHASH","Meaningless Content"
"Jersey.info.pl","3.222","HASH+NOHASH","Social"
"Jobwich.com","86.418","NOHASH","Job Search"
"Jokkis.net","4.010","NOHASH","Sports"
"Jproperty.com.au","31.491","NOHASH","IT"
"K-Series.pl","7.796","NOHASH","NoCategory"
"KTK.pl","4.402","NOHASH","Auto"
"Kaboom.su","54.888","NOHASH","Games"
"Kapster.nl","27.403","NOHASH","Business"
"Karamy.pl","5.353","NOHASH","Games"
"Karransinks.com","4.209","NOHASH","Business"
"Kienthucphukhoa.net","33.491","NOHASH","Malicious Websites"
"Killertoys.com","15.637","NOHASH","Shopping"
"Kings.com","53.621","NOHASH","Sports"
"Kliny.com.pl","1.944","NOHASH","Business"
"Klub-Tanganika.pl","1.861","NOHASH","Social"
"KlubCorsa.pl","4.004","NOHASH","Auto"
"Klubciconia.Ptaki.info.pl","1.530","NOHASH","Social"
"Klubfiatstilo.pl","1.385","NOHASH","Boards"
"Klubsuzuki.pl","5.020","NOHASH","Auto"
"Kmforum.pl","2.352","NOHASH","Adult"
"Korex.Net.pl","2.560","NOHASH","Entertainment"
"Kryminalistyka.Fr.pl","2.622","NOHASH","IT"
"Kuglarstwo.pl","6.612","NOHASH","Entertainment"
"Kurnik.I365.pl","2.793","NOHASH","Business"
"LG-Bali.pl","10.012","NOHASH","NoCategory"
"LS-ModTeam.wxv.pl","4.108","NOHASH","IT"
"LaTaupe","74.627","NOHASH","NoCategory"
"Lagaleratext.cat","5.169","NOHASH","Education"
"Lakiernik.info.pl","3.961","NOHASH","Business"
"Landkiting.pl","1.710","NOHASH","Malicious Websites"
"Landwirtschafts-Simulator.pl","1.739","NOHASH","Games"
"Leonberger-info.pl","1.036","NOHASH","Business"
"Lighting.pl","1.508","NOHASH","Business"
"Litoralulromanesc.ro","1.854","NOHASH","Travel"
"Livecometdata.us","1.813","NOHASH","Phishing"
"LosBlancos.pl","2.796","NOHASH","Sports"
"Loscaligaris.net","17.878","NOHASH","Entertainment"
"Ls-center.pl","4.958","NOHASH","Entertainment"
"Lsmodss.pl","6.907","NOHASH","NoCategory"
"Malaysia.trans-escorts.com","2.371","NOHASH","Adult"
"Mangercacher.com","25.348","NOHASH","IT"
"Maranciaki.pl","5.007","NOHASH","Social"
"Marketest.co.uk","4.398","NOHASH","Business"
"Mb.Slask.pl","2.015","NOHASH","Auto"
"Mercmania.pl","2.822","NOHASH","Auto"
"Miesiecznik-Pszczelarstwo.pl","1.686","NOHASH","Reference"
"Minecraft.Cps.Cityhost.pl","2.865","NOHASH","Games"
"Muzyczneforum.pl","1.503","NOHASH","Boards"
"Naszecytrusy.pl","1.498","NOHASH","Social"
"Niepokoje.Nazwa.pl","1.603","NOHASH","Web Hosting"
"Oko.Nae.pl","1.068","NOHASH","Boards"
"Patologia.Net.pl","2.633","NOHASH","Web Hosting"
"Peugeot405Club.pl","2.245","NOHASH","Auto"
"PiterGuns.ru","4.367","HASH+NOHASH","Weapons"
"Piterwsad5.Onuse.pl","2.701","NOHASH","Meaningless Content"
"Planetapersja.pl","1.551","NOHASH","Boards"
"PokeCollect.net.pl","2.946","NOHASH","Web Hosting"
"Polska.mil.pl","2.340","NOHASH","Armed Forces"
"Poverejayonlycnc.Duu.pl","1.478","NOHASH","IT"
"Poznan.Forumslubne.pl","4.396","NOHASH","Boards"
"PremiumInvites.com","167.810","NOHASH","Illegal or Unethical"
"Przyjacielebonsai.Home.pl","2.238","NOHASH","Web Hosting"
"Ptcruiserclub.pl","1.603","NOHASH","Boards"
"Pulsum.pl","2.485","NOHASH","Education"
"RapStrefa.pl","4.310","NOHASH","Boards"
"Rapownia.pl","1.830","HASH+NOHASH","Boards"
"RavensGuild.pl","2.887","NOHASH","Boards"
"Razem.Waw.pl","2.397","NOHASH","NoCategory"
"RigWelder.com","4.731","HASH","Boards"
"SE-W595.pl","7.567","NOHASH","NoCategory"
"SKServ.pl","7.978","NOHASH","Games"
"SPAforums.com","27.096","HASH+NOHASH","Business"
"Sedziowie.Kei.pl","3.467","NOHASH","Web Hosting"
"Shoejobstory.pl","1.379","NOHASH","Adult"
"Skutery-forum.pl","5.338","HASH+NOHASH","Auto"
"Slot.Art.pl","1.860","NOHASH","Arts"
"Sluzba-Cywilna.pl","2.312","NOHASH","Organizations&Government"
"Specops.com.pl","2.495","NOHASH","Shopping"
"Statystycy.pl","3.397","NOHASH","Boards"
"Stowarzyszenieprzyjaciolszczurow.pl","2.761","NOHASH","Organizations&Government"
"Streamlineworkspace.com","139.736","NOHASH","Auto"
"StreetShadows.pl","4.042","HASH+NOHASH","Blogs"
"StudentBuduje.pl","2.756","NOHASH","Education"
"Stylingart.Nazwa.pl","1.915","NOHASH","Web Hosting"
"Swg.pl","2.063","NOHASH","Boards"
"Swiatelka.pl","3.863","NOHASH","Boards"
"SwissClub.pl","1.937","NOHASH","Entertainment"
"Sylhetaid.co.uk","61.112","NOHASH","NoCategory"
"Tatry.Netmark.pl","1.518","NOHASH","IT"
"TelChina.pl","3.651","NOHASH","IT"
"Universe.pl","1.704","NOHASH","Entertainment"
"Ventsombre.net","1.383","NOHASH","Entertainment"
"Wawkom.Waw.pl","1.451","NOHASH","Boards"
"Weryfikatorium.pl","1.562","NOHASH","Business"
"Wolczyn.Kapucyni.pl","1.250","NOHASH","Entertainment"
"Wrota.H2.pl","1.857","HASH+NOHASH","Meaningless Content"
"XFire.pl","2.451","NOHASH","Advertising"
"Xsyon.com","48.964","NOHASH","Games"
"Yamaha-Dragstar.pl","1.409","NOHASH","Auto"
"Yamahaxj.pl","1.739","NOHASH","Social"
"YedekParcaDepo.com","1.094","HASH+NOHASH","Business"
"Yoannserra.com","2.540","NOHASH","NoCategory"
"York.net.pl","1.438","NOHASH","Web Hosting"
"Zabrze.Slask.pl","1.822","NOHASH","Boards"
"Zipp-Forum.pl","2.760","NOHASH","Boards"
"a-piu-srl.com","6.139","NOHASH","Auto"
"a2big.com","1.011","NOHASH","IT"
"a2s.pl","16.968","HASH+NOHASH","Business"
"a2zmeal.com","8.103","HASH+NOHASH","Business"
"a3xvv.com","5.317","HASH+NOHASH","Business"
"a777aa77.ru","2.814","NOHASH","Auto"
"aa1.kr","40.772","HASH+NOHASH","Shopping"
"aa99.mudi.com.tw","2.380","NOHASH","Business"
"aaa.fct.unl.pt","1.871","HASH","Education"
"aaaautodoprava.cz","5.105","HASH","Business"
"aaaquality.com","1.018","HASH+NOHASH","Travel"
"aacvm.com.ar","1.518","HASH+NOHASH","Auto"
"aaescort.com.au","3.461","HASH+NOHASH","Adult"
"aafomentoequino.com.ar","3.198","NOHASH","Sports"
"aarinfantasy.com","141.423","NOHASH","Entertainment"
"aavirtual.net","3.417","HASH+NOHASH","Travel"
"aaykapolymers.com","2.116","HASH+NOHASH","Phishing"
"aba-osakafu.or.jp","1.609","NOHASH","Organizations&Government"
"abac.org.br","1.463","NOHASH","Business"
"abandongames.com","1.475","HASH+NOHASH","Games"
"abandonware-utopia.com","1.505","HASH+NOHASH","Games"
"abanzis.com","2.673","NOHASH","Travel"
"abchemicals.biz","1.148","NOHASH","NoCategory"
"abcstitch.net","2.675","HASH+NOHASH","Social"
"abd.org.in","1.216","NOHASH","Business"
"abedia.com","6.184","HASH+NOHASH","Business"
"abireg.ru","10.008","HASH+NOHASH","Business"
"abkontakt.cz","1.405","HASH+NOHASH","Search Engines and Portals"
"abo.bbv-net.de","14.532","HASH+NOHASH","Media"
"aboutflr.com","3.133","HASH+NOHASH","Adult"
"aboutflr.com","3.186","HASH+NOHASH","Adult"
"abrapee.psc.br","1.031","HASH+NOHASH","Education"
"abroading.net","1.191","HASH+NOHASH","Travel"
"absolutesim.com","4.432","HASH+NOHASH","Business"
"abvvmechelenkempen.be","1.674","NOHASH","Organizations&Government"
"abxelektronika.cz","1.139","HASH+NOHASH","Business"
"acacia.org.il","1.399","NOHASH","Business"
"academiedeversailles.com","92.639","HASH+NOHASH","Education"
"academy2bc.com","1.056","HASH+NOHASH","Business"
"academy4enrichment.com","3.822","HASH+NOHASH","Education"
"accademiadelprofumo.it","1.677","NOHASH","Business"
"accelera-radial.com","3.032","HASH","Business"
"access.enduseruniversity.com","10.632","HASH+NOHASH","Education"
"accessecon.com","2.168","NOHASH","Education"
"accessoires-camping-car.fr","8.000","NOHASH","Auto"
"accommodations-guide.com","1.204","HASH","Business"
"accountability.pub","1.668","NOHASH","IT"
"acdc-bootlegs.com","3.008","NOHASH","Entertainment"
"acecorpsers.com","15.924","HASH+NOHASH","Business"
"acede.org","1.086","NOHASH","Education"
"acehomesolutions.com","1.023","NOHASH","NoCategory"
"acekoreamall.com","2.115","HASH+NOHASH","Shopping"
"acelebaski.com","1.946","HASH","Business"
"acessoinformaticacursos.com.br","3.141","HASH+NOHASH","Business"
"achtungbootlegs.com","14.258","HASH+NOHASH","Entertainment"
"aciclacampina.com.br","2.176","NOHASH","Business"
"aciinfotech.hireica.com","13.130","HASH+NOHASH","Job Search"
"ackermanjewelers.com","8.472","HASH+NOHASH","No category"
"ackpropertyvideo.com","1.385","HASH+NOHASH","NoCategory"
"acmar.com.ar","2.903","NOHASH","Business"
"acomax.com.br","1.470","NOHASH","Search Engines and Portals"
"acquaplus.gr","4.163","HASH","Business"
"acquirework.com","6.540","HASH","IT"
"acromann.com","16.940","HASH+NOHASH","Auto"
"acta.structuralica.org","1.100","HASH","Business"
"actingbiz.com","12.142","HASH+NOHASH","Travel"
"actioninvestornetwork.com","1.290","NOHASH","Real Estate"
"activatie.org","1.756","NOHASH","Business"
"activemidlothian.org.uk","4.912","HASH+NOHASH","Sports"
"activeradiator.com","8.435","HASH","Business"
"acupuncture-valence.fr","3.689","HASH","Business"
"acutd.com","1.722","NOHASH","IT"
"acutecrohns.com","270.050","HASH","Medicine"
"ad.innolife.net","364.482","HASH+NOHASH","Travel"
"adammckaig.com","1.101","HASH+NOHASH","Blogs"
"addons.soholaunch.com","11.086","HASH+NOHASH","IT"
"addyon.com","4.038","HASH+NOHASH","Business"
"adenamontessori.com","8.438","NOHASH","Business"
"admin.fijilive.com","13.056","HASH+NOHASH","Media"
"admin.matrixprostaffing.com","1.543","HASH+NOHASH","Entertainment"
"admin.pspc.co.uk","7.474","NOHASH","Business"
"admin.square1.co.kr","3.119","HASH+NOHASH","Travel"
"administratif-lb.max.st","1.021","HASH+NOHASH","IT"
"adstat.red","8.920","NOHASH","Malicious Websites"
"aenigmatica.it","31.976","NOHASH","Search Engines and Portals"
"aenigmatica.ita","20.958","NOHASH","NoCategory"
"aer-conditionat.com.ro","2.357","HASH+NOHASH","Shopping"
"aerocontact.com","299.908","NOHASH","Business"
"aeroplanes24.com","1.278","HASH+NOHASH","Business"
"aerotravel.ru","3.283","NOHASH","Travel"
"aerzteverbund-opf.de","3.282","HASH","Medicine"
"aesm-database.be","2.467","NOHASH","Education"
"afacerilemn.ro","5.506","NOHASH","Business"
"afesta.tv","128.888","HASH+NOHASH","Adult"
"afeuadviser.com","758","NOHASH","NoCategory"
"affaretrattore.it","4.743","HASH+NOHASH","Auto"
"affarilandia.com","2.458","NOHASH","Business"
"affdeal.com","12.951","HASH","IT"
"affep.fr","2.913","HASH","Education"
"affiliate-toolbox.net","10.750","HASH+NOHASH","Advertising"
"affiliate.proxy-list.org","2.761","HASH+NOHASH","Proxy Avoidance"
"affiliation.pronostic-turfiste.com","56.305","HASH+NOHASH","Gambling"
"affittiprivatisalento.com","7.016","NOHASH","Travel"
"afishagoroda.ru","3.656","HASH+NOHASH","Entertainment"
"africanaffair.biz","2.570","HASH+NOHASH","Business"
"afrikatotinamerika.k3.lyricschords.net","27.132","NOHASH","Entertainment"
"afrtradeshow.com","1.769","NOHASH","Business"
"afsep.com","1.220","HASH","Education"
"agadei.org","4.013","HASH","Organizations&Government"
"agarwalcommunity.com","1.134","NOHASH","Arts"
"agathafox.com","6.521","HASH","Adult"
"agefos-pme-iledefrance.org","3.478","NOHASH","Organizations&Government"
"agencedelaplage.fr","1.707","HASH+NOHASH","Business"
"agencesenlimousin.com","7.554","HASH","Business"
"agenda.fundacionbotin.org","1.739","NOHASH","Education"
"agendadelasmujeres.com.ar","25.541","HASH+NOHASH","Organizations&Government"
"agendelave.com.br","6.161","NOHASH","Business"
"agentam.ru","3.986","HASH+NOHASH","Business"
"agil.fr","2.918","HASH+NOHASH","IT"
"agir.ro","7.113","NOHASH","Business"
"agm-online.de","2.164","HASH","Medicine"
"agorarelationclient.com","3.638","HASH+NOHASH","Business"
"agorasecurite.com","1.758","HASH+NOHASH","Business"
"agorastur.es","7.889","HASH","Business"
"agorasupplychain.com","1.351","HASH+NOHASH","IT"
"agriaffiliates.com","1.603","NOHASH","Real Estate"
"agroseznam.cz","7.246","HASH+NOHASH","Business"
"agrotrh.cz","7.246","HASH+NOHASH","Media"
"agroturystyka.wkudowie.pl","2.020","HASH+NOHASH","Travel"
"ahmetrugs.com","2.556","HASH","NoCategory"
"ahobilamutt.org","9.594","NOHASH","Religion"
"ahs.or.kr","72.250","HASH+NOHASH","Business"
"aidymatic.co.uk","1.881","HASH+NOHASH","IT"
"aik.or.kr","53.110","HASH+NOHASH","Education"
"aikcb.or.kr","12.498","NOHASH","Education"
"aimrich.co.kr","1.020","NOHASH","Shopping"
"aimsrentacar.com.fj","15.658","HASH+NOHASH","Business"
"airboxbounce.co.uk","1.890","HASH","Business"
"aircare.ai","5.328","NOHASH","NoCategory"
"airpro.com.tw","10.756","HASH+NOHASH","Business"
"airsoft.ro","14.596","HASH+NOHASH","Weapons (Sales)"
"airsofthouse.cz","4.893","HASH+NOHASH","NoCategory"
"airsourceconnect.com","4.090","NOHASH","Travel"
"aitep.eu","6.670","HASH+NOHASH","IT"
"aivaweb.lt","2.688","NOHASH","Search Engines and Portals"
"ajarnaum.com","1.006","HASH","Education"
"ajg.com.fj","6.204","HASH+NOHASH","Business"
"ajratax.com","87.646","NOHASH","Business"
