Entries,Database,Detected Hashing Algorithms,Category,Dump Date,Acknowledged?
2287186,vTightGel.com,no passwords,Health,2016-02,
2277519,Patreon.com,MD5(pass.salt) & no passwords,Crowd-Funding,2015-09,https://www.patreon.com/posts/important-notice-3457485
2243867,Game-Tuts.com,vB,Gaming,2016-07,
2222542,ClixSense.com,plaintext,Surveys,2016-08,
2210703,I-Dressup.com,plaintext,Gaming,2016-08,http://www.i-dressup.com/Noticedatabreach.php
2154744,51cto.com,MD5(salt),Technology,2013-12,
2154041,Skype.com Email Addresses,no passwords,Telecommunications,2006-12,
2124601,LoneStarCell.com,no passwords,Telecommunications,2015-09,
2082675,iPmart-Forum.com,vB,Technology - Phones,2015-07,
2074617,CharmsOffice.com,no passwords,Software,,
2035020,Shadi.com,plaintext,Dating,2016-07,
2027140,Warframe.com Forum,IPB,Gaming,2016-08,
1978825,USA Consumer Database 2 (Yahoo & Gmail Email Addresses),no passwords,Marketing,2017,
1966281,Glyffy.com,bcrypt & no passwords,Software,2020-02,
1960704,TehkSeven.net,IPB & MD5,Technology,2012-01,
1960420,DoxHotel.org,SHA-1 *MISSING SALTS* & SHA-512 *MISSING SALTS* & no passwords,Gaming,,
1943537,Australian Business Database,no passwords,Business,2011,
1942380,FlashFlashRevolution.com,vB & no passwords,Gaming,2016-02,http://www.flashflashrevolution.com/ffr/information-breach/
1924073,Dev.Dota2.com,vB,Gaming - DOTA2,2016-07,
1901383,Eroticy.com,plaintext & no passwords,Dating,2015-06,
1895238,HookupHotel.com Email Addresses,no passwords,Dating,,
1891752,gPotato.com,MD5(kikugalanet.$pass),Gaming,2007,
1883972,Canadian Business Database,no passwords,Business,2011,
1871470,CDProjektRed.com Forums,vB,Gaming,2016-03,https://forums.cdprojektred.com/forum/en/the-witcher-series/news-aa/7248610-important-unauthorized-access-to-the-forums%E2%80%99-data
1825477,Ge.tt,SHA-256,File Sharing,2017-12,
1756489,NaughtyAmerica.com,"several (including 761,334 plaintext)",Porn,2016-03,
1752938,Imgur.com,plaintext,Hosting - Images,2013-09,
1698174,Nihonomaru.net,vB,Anime,2015-04,
1694060,RuneAp.com,plaintext,Gaming - RuneScape,,
1689013,CPRewritten.net,bcrypt,Gaming,2018-01,
1687816,WorldOfWar.net,plaintext,Gaming - World of Warcraft,,
1665758,Carnival.com,no passwords,Cruises,2006-11,
1662271,LTDCommodities.com Email Addresses,no passwords,Shopping,2006-06,
1645529,DDO.com (Dungeons and Dragons Online),vB,Gaming,2013-02,
1626363,OverStock.com Email Addresses,no passwords,Shopping,2006-12,
1604645,F.Elex.com,vB,Gaming,2016-07,
1563243,HTCMania.com,VB & no passwords,Phones,2020-01,
1558768,Vodafone.is,several,Telecommunications,2013-11,
1555991,JCPenney.com,no passwords,Shopping,2006-09,
1540733,Ubisoft.com Forum,*CORRUPTED*,Gaming,2014-02,
1536316,Mineplex.com,no passwords,Gaming - Minecraft,2014-03,
1487875,Dota2.com Forum,plaintext,Gaming,2016-07,
1478715,Diet.com,MD5 & MD5(phpBB3) & no passwords,Health - Nutrition,2014-08,
1460139,Snapfish.com Email Addresses,no passwords,Photography,2006-06,
1451400,Some USA ISPs (Email/Name/Address),no passwords,Internet Service Provider,2014,
1432398,Facebook.com (Email/Name/ID),no passwords,Social Media,2012,
1414875,Hacker.co.kr,plaintext,Hacking,2010,
1407732,Elance.com,SHA-1,Employment,2009,
1405475,WoWTCG.com,plaintext,Gaming - World of Warcraft,,
1402792,XSplit.com Forum,phpBB,Gaming,2015-06,https://www.xsplit.com/blog/xsplit-password-reset-alert
1373728,Gamevn.com,vB,Gaming,,
1358634,Games.Snail.com,plaintext,Gaming,,
1358545,GrinderScape.org in-game,plaintext,Gaming - RuneScape,2015-01,
1358358,LOTRO.com (The Lord Of The Rings Online),vB,Gaming,2013-08,
1349553,WifeLovers.com,DEScrypt,Porn,2018-10,https://web.archive.org/web/20181020185005/http://wifelovers.com/
1326617,USA Homeowner Database,no passwords,Government Records,2009-01,
1314284,PSVitaISO.com,vB,Gaming,2017,
1311738,MangaFox.me Forum,vB,Manga,2016-07,
1307036,EliteFitness.com,MD5 & plaintext & Vb & no passwords,Health - Fitness,2015-12,
1304008,WoWInstaller.com,plaintext,Gaming - World of Warcraft,,
1294729,Xbox360ISO.com,vB,Gaming,2015-09,
1289841,LordsOfPorno.com,plaintext,Porn,2015-10,
1281799,PSPISO.com,vB,Gaming,2016-08,
1280449,ResolveThem.com,no passwords,Skype Resolver,2015-07,
1273095,eBags.com Email Addresses,no passwords,Shopping,2006-08,
1262409,VBEnterpriseTranslator.com,vB,Software,2018-04,
1261810,Yandex.com,plaintext,Email Provider,2014-09,
1237342,Aternos.org Main,md5(sha1($salt).md5($password)),Gaming - Minecraft,2015-11,
1215133,GamerzPlanet.net,vB,Gaming,2015-10,
1213734,IR-TCI.org Forum,VB,Technology,2016-02,
1193286,NextGenUpdate.com,vB,Gaming,2014-01,
1190935,WoWJutsu.com,plaintext,Gaming,,
1174651,Lifetip.icross.co.kr,MD5,Uncategorized,2017-04,
1160839,Nevada Voter Database,no passwords,Government Records,,
1149589,MinecraftOnly.ru,plaintext,Gaming - Minecraft,2018,
1146789,DeSura.com,plaintext,Gaming,,
1131512,DaniWeb.com,*CORRUPTED*,Technology - IT,2016-04,
1128980,EpForums.org,vB,Gaming,2018-04,
1127982,FileFront.com (GameFront.com),plaintext,Gaming,,
1125398,Forum.Warmane.com,vB,Gaming,2016-12,
1115215,Allstate.com Email Addresses,no passwords,Insurance,2006-10,
1114603,Forum.RU.R2Games.com,MD5(salt) & vB & no passwords,Gaming,2017-03,
1114411,Unknown Dutch Dog Owners Database,no passwords,Animals - Dogs,2019-11,
1110312,Bedstore.co.uk and Kiddicare.com,no passwords,Shopping,2015-12,http://www.kiddicare.com/images/pages/KC_breach_FAQs.pdf
1080761,AbuseWith.us Lookups,several,Lookup Results,2014-09,
1079655,Artsy.net,SHA-512(salt) & no passwords,Art,2019-02,
1072608,GeekedIn.net Email Addresses,no passwords,Coding,2016-08,
1064312,Russian Gaming Platform,MD5,Gaming,2013-11,
1052837,Shotbow.net,SHA-256(SHA-256($pass).$salt),Gaming - Minecraft,2016-04,
1048808,HazeCash.com,plaintext,Porn,2017-01,
1037276,Casinos.Microgaming.com,no passwords,Gambling,,
1036922,KM.ru,no passwords,News,2016-02,
1036318,GuildOx.com,plaintext,Gaming - World of Warcraft,2012,
1034665,WebMD.com Email Addresses,no passwords,Health,2007-03,
1028867,Tagged.com Email Addresses,no passwords,Social Media,2006-09,
1018259,Forbes.com,phpBB,Business Magazine,2014-02,
1015856,Lamoda.ru,no passwords,Shopping - Clothes,,
1007885,Forum.BodyJewelleryShop.com,vB,Fashion,2017-01,
1007834,FlashGame.HehaGame.com,MD5(salt) *MISSING SALTS*,Gaming,,
1007459,Global Trading Directory,no passwords,Trading,2016,
1006755,Waveo.com,no passwords,Marketing,2016-08,
1006237,HongFire.com Forum,vB,Porn,2015-03,
1001461,USA Business Opportunity Database,no passwords,Business,2014-05,
999743,USA Credit Inquiry Database,no passwords,Finance,2010-04,
996546,Aptitus.com Logs,no passwords,Employment,2016-08,
995858,TheLotter.com,no passwords,Gambling,2019,
994517,Bolt.cd Forum,vB,File Sharing,2016,
994113,TheWarInc.com,vB,Gaming,2012-07,
994107,ChristianPassions.com,no passwords & plaintext,Dating,,
980617,GiaiPhapExcel.com,VB,Software,2017-03,
977685,POLO.com Email Addresses,no passwords,Shopping,2006-09,
969084,OVH & Kimsufi.com,vB,Hosting,2015-05,
968074,EuroGunz.net,plaintext,Gaming,2012,
964992,Fedex.com Email Addresses,no passwords,Courier,2006-07,
963088,Board.FreeOnes.com,VB,Porn,,
961791,ForumFree.it,MD5,Hosting - Forums,2016-06,
957034,Cupid.com Email Addresses,no passwords,Dating,,
956999,PetFlow.com,plaintext,Animals,2017,
946805,Tickets.UniPlaces.com Email Addresses,no passwords,Accommodation,,
938529,Evony.com Forum,vB,Gaming,2016-06,
932936,Stratfor.com,MD5,News - Politics,2011-12,
928709,MasalaBoard.com,vB,Entertainment,2017-09,
928072,Brazzers.com,plaintext,Porn,2013-04,
927606,Orvis.com Email Addresses,no passwords,Shopping,2006-10,
925887,iCollectMedia.com,base64 & MD5(salt) *MISSING SALTS*,Media,,
924369,GlobalReachTech.com,MD5,Technology,2016-10,
923015,GameSalad.com (Email/Password),plaintext,Education,2019-02,
922852,Sjovt.com,MD5,Gaming,,
921785,StoreLP.ru,MD5,Shopping,2018,
921780,LookBook.nu,plaintext,Fashion,2016-05,
921665,Fishbowl.com Email Addresses,no passwords,Data Analytics,2007-03,
917607,GameSalad.com (Username/Password),plaintext,Education,2019-02,
911438,InterCasino.com,no passwords,Gambling,,
909513,WoWHead.com,plaintext,Gaming - World of Warcraft,,
909266,Desteria.com User IPs,no passwords,Gaming - Minecraft,2015-08,
900440,RealtyTracker.com Email Addresses,no passwords,Real Estate,2006-04,
892942,Sloto-Cash.com,no passwords,Gambling,,
892255,XPGameSaves.com,IPB,Gaming,2016-01,http://www.xpgamesaves.com/threads/data-breach.153200/
891711,Wiocha.pl,plaintext,,2012-07,
888584,Habbo.st,MD5,Gaming,,
885523,MoDaCo.com,IPB,Technology,2016-01,http://www.modaco.com/news/android/modaco-data-breach-full-statement-r1664/
885252,PornPros.com,plaintext,Porn,,
885248,JackRoberts.com,plaintext,Uncategorized,2014-04,
880025,OwnedCore.com,VB,Gaming,2013-08,
879961,Play.Google.com Developers,no passwords,Software,2017,
876957,Gleeden.com Email Addresses,no passwords,Dating,,
876479,WoW911.com,MD5 & MD5(salt) *MISSING SALTS*,Gaming - World of Warcraft,,
872790,BrainyBatch.com,bcrypt & base64,Education,2017-01,
866609,Gmail.com (Email/Name/Address),no passwords,Email Provider,2014-09,
861441,Game.KaiDown.com,plaintext,Gaming,,
855854,MangaTraders.com,MD5,Manga,2014-06,
855822,New Zealand Residential Database,no passwords,Government Records,2011,
851174,CombatCraft.su,SHA-256(AuthMe),Gaming - Minecraft,2019-05,
843105,FlirtBox.com Email Addresses,no passwords,Dating,,
838896,ObeikanEducation.com,MD5,,,
837031,BodogLife.com,none,Gambling,2009,
833921,EpicBot.com,VB & bcrypt,Gaming - RuneScape,2019-09,
830019,Onverse.com Forum,vB,Gaming,2016-01,http://forum.onverse.com/index.html
826495,Acne.org,IPB & no passwords,Health,2015-03,
821768,BabyNames.com,MD5(salt) *MISSING SALTS*,Names,,
819442,Warframe.com,no passwords,Gaming - Warframe,2016-03,
815084,K-vrachu.ru,MD5,Health - Medicine,2016-01,
815012,Interpol.int,no passwords,,2011-03,
808587,Gawker.com,bcrypt & no passwords,Entertainment,2010-12,
803931,Sync Keylogger Data,plaintext,Many,,
793302,MIDIFan.com,MD5,Music,2018-12,
782608,Abandonia.com,vB,Gaming,2015-11,
777350,ForumCommunity.net,MD5,Hosting - Forums,2016-06,
773994,BlackHatWorld.com,vB,Hacking,2014-06,
773925,GameTutor.com,plaintext,Gaming,,
767235,Forums.Funny-Gamez.biz,VB,Gaming,2018-04,
767167,Platyna.org Gmail Spamlist Email Addresses,no passwords,Uncategorized,,
766666,Groupon.co.id,plaintext,Advertising,2015,
765608,Swappernet.com,plaintext,Dating,,
762367,PassionsNetwork.com,plaintext,Dating,2017-01,
761911,DojoApp.co,bcrypt & no passwords,Art,2017-02,
761558,Playtech.com,no passwords,Software - Gambling,2014,
756833,WildStar-online.com,IPB & MD5,Gaming,2015-07,
756518,HLTV.org,MD5(MD5($pass).MD5($pass).MD5($pass).MD5($pass).$salt) & bcrypt,Gaming,2016-06,
753939,Jeux-Fille-Gratuit.com,plaintext,,2017-11,
752771,Klerk.ru,vB,Finance,2014-03,
750463,WildBerries.ru Email Addresses,no passwords,Shopping,,
748424,Sonicbids.com,PBKDF2-SHA256 & no passwords,Music,2019-12,
743280,MyDVD.OverHere.com,plaintext,,2018-10,
742294,AndroidForums.com,vB,Technology,2011-10,https://androidforums.com/threads/important-notice-security-breach.580371/
740049,Rhode Island Voter Database,no passwords,Government Records,2015-12,
739503,Asterios.ru Forum,base64,Gaming,2010-06,
731639,Utah Voter Database,no passwords,Government Records,2015-12,
716878,PaddyPower.com,no passwords,Gambling - Betting,2010-10,
712753,GameTurk.com,vB,Gaming,2015-11,
708173,ProgrammingForums.org,vB,Coding,2015,
707065,NaughtyConnect.com,MD5 & base64,Dating,2013-07,
701038,Libero.it,plaintext & no passwords,News & Email Provider,2016-07,
700673,212300.com,MD5(salt),Multipurpose,2012-11,
